term,lane,theme,notes
Avila Adobe,museum_specific,museum_brand,Dataset venue; brand search
Olvera Street,museum_specific,tourism_discovery,Historic district context for Avila Adobe
El Pueblo Los Angeles,museum_specific,cultural_heritage,Required phrase; district identity
Los Angeles museums,discovery_marketing,tourism_discovery,Proposal baseline keyword
things to do in LA,discovery_marketing,tourism_discovery,Proposal phrasing
things to do in Los Angeles,discovery_marketing,tourism_discovery,Variant spelling
things to do in downtown LA,discovery_marketing,tourism_discovery,Downtown visitor intent
things to do in Los Angeles in winter,discovery_marketing,seasonal_visit_intent,Seasonal museum outing intent
things to do in LA in December,discovery_marketing,seasonal_visit_intent,Month-specific winter travel intent
things to do in LA in January,discovery_marketing,seasonal_visit_intent,Month-specific winter travel intent
things to do in LA in February,discovery_marketing,seasonal_visit_intent,Month-specific winter travel intent
indoor things to do in Los Angeles,discovery_marketing,seasonal_visit_intent,Indoor museum-friendly intent
things to do in LA for a couple hours,discovery_marketing,short_visit_intent,Short outing phrasing
things to do in LA for 2 hours,discovery_marketing,short_visit_intent,Short outing phrasing variant
things to do near Union Station Los Angeles,discovery_marketing,short_visit_intent,Nearby quick-trip intent
historic sites California,discovery_marketing,tourism_discovery,Proposal baseline keyword
historical sites Los Angeles,discovery_marketing,tourism_discovery,Local discovery intent
Los Angeles attractions,discovery_marketing,tourism_discovery,README baseline
historic attractions Los Angeles,discovery_marketing,tourism_discovery,Local historic attraction intent
Los Angeles history,discovery_marketing,lifestyle_history,History-interest discovery
cultural heritage Los Angeles,discovery_marketing,cultural_heritage,Heritage-oriented discovery
heritage tourism Los Angeles,discovery_marketing,cultural_heritage,Tourism framing for heritage travel
historic district Los Angeles,discovery_marketing,cultural_heritage,District-level heritage interest
Mexican heritage Los Angeles,discovery_marketing,cultural_heritage,Olvera Street / El Pueblo cultural relevance
family activities Los Angeles,discovery_marketing,family_activity,README baseline
kid friendly museums Los Angeles,discovery_marketing,family_activity,Family museum intent
kids activities downtown Los Angeles,discovery_marketing,family_activity,Downtown family intent
family things to do in downtown LA,discovery_marketing,family_activity,Family discovery intent
free museums Los Angeles,discovery_marketing,tourism_discovery,Discovery intent
things to do in LA when it rains,discovery_marketing,rainy_day_intent,Rainy-day trip planning
rainy day activities Los Angeles,discovery_marketing,rainy_day_intent,Rainy-day intent
Getty Museum,benchmark,competitor,High-volume LA museum benchmark
La Brea Tar Pits,benchmark,competitor,Historic/cultural benchmark
Griffith Observatory,benchmark,competitor,Destination benchmark
oldest house in Los Angeles,museum_specific,historic_identity,Avila Adobe positioning
oldest house Los Angeles,museum_specific,historic_identity,Required phrase; shorter wording
oldest home in Los Angeles,museum_specific,historic_identity,Variant wording for Avila Adobe
historic house Los Angeles,museum_specific,historic_identity,Historic home interest
oldest building in Los Angeles,museum_specific,historic_identity,Broader significance wording
1840s Los Angeles,museum_specific,lifestyle_history,Period / living history angle
life in the 1840s,discovery_marketing,lifestyle_history,General lifestyle history curiosity
living history museum,discovery_marketing,lifestyle_history,Museum positioning overlap
historic house museum,discovery_marketing,lifestyle_history,Category search
interactive museums Los Angeles,discovery_marketing,engagement_strategy,Growing interactive-interest category
cultural experiences Los Angeles,discovery_marketing,engagement_strategy,Growing cultural-experience category
